t,X0,Y0,Z0,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1697402585.5436876,-3926.228,-7672.216,-32781.32,-14205.916,-11171.876,513.04,-6749.988,-9288.368,-34683.44,-11132.824,-4226.628,-8349.0
1697402585.5502918,-3881.168,-7627.156,-32732.92,-14413.192000000001,-11385.16,135.51999999999998,-6716.944,-9249.316,-34620.52,-11204.92,-4304.732,-8460.32
1697402585.5568354,-3926.228,-7666.208,-32781.32,-14166.864,-11132.824,575.96,-6819.08,-9360.464,-34780.24,-11168.872,-4265.68,-8402.24
1697402585.5634174,-4037.376,-7780.36,-32941.04,-14235.956,-11207.924,454.96,-6677.892,-9216.272,-34572.12,-11024.68,-4118.484,-8155.4
1697402585.569989,-3884.172,-7633.164,-32728.079999999998,-14416.196,-11388.164,130.68,-6752.992,-9291.372,-34673.76,-11057.724,-4148.524,-8223.16
1697402585.5765555,-4004.332,-7747.316,-32887.799999999996,-14341.096,-11316.068,266.2,-6710.936,-9252.32,-34620.52,-11204.92,-4301.728,-8455.48
1697402585.5831404,-3959.272,-7708.264,-32834.56,-14374.14,-11355.12,198.44,-6786.036,-9324.416,-34727.0,-11204.92,-4301.728,-8460.32
1697402585.5896857,-4040.38,-7777.356,-32945.88,-14235.956,-11201.916,450.12,-6683.9,-9213.268,-34572.12,-11204.92,-4304.732,-8460.32
1697402585.596273,-3962.276,-7705.26,-32824.88,-14208.92,-11171.876,508.2,-6792.044,-9324.416,-34731.84,-11099.78,-4190.58,-8281.24
1697402585.6028423,-3965.28,-7705.26,-32849.08,-14380.148,-11352.116,188.76,-6825.088,-9363.468,-34780.24,-11168.872,-4265.68,-8397.4
1697402585.6094794,-3962.276,-7705.26,-32834.56,-14166.864,-11138.832,571.12,-6749.988,-9291.372,-34673.76,-11237.964,-4343.784,-8523.24
1697402585.616051,-4001.328,-7741.308,-32892.64,-14199.908,-11174.88,508.2,-6789.04,-9327.42,-34727.0,-11093.772,-4190.58,-8290.92
1697402585.6226058,-3622.824,-7371.816,-32350.559999999998,-14305.048,-11280.02,319.44,-6792.044,-9324.416,-34731.84,-11201.916,-4301.728,-8460.32
1697402585.629192,-3770.02,-7519.012,-32568.36,-14235.956,-11210.928,445.28,-6713.94,-9252.32,-34620.52,-11385.16,-4490.98,-8765.24
1697402585.6357296,-3926.228,-7666.208,-32791.0,-14163.86,-11135.828,571.12,-6861.136,-9399.516,-34828.64,-11240.968,-4343.784,-8523.24
1697402585.6423335,-4001.328,-7741.308,-32892.64,-14446.236,-11424.212,62.92,-6755.996,-9288.368,-34678.6,-11165.868,-4268.684,-8402.24
1697402585.6488757,-4004.332,-7744.312,-32887.799999999996,-14413.192000000001,-11385.16,140.35999999999999,-6936.236,-9474.616,-34939.96,-11165.868,-4265.68,-8402.24
1697402585.6554167,-3926.228,-7663.204,-32776.479999999996,-14202.912,-11171.876,508.2,-6752.992,-9291.372,-34673.76,-11168.872,-4265.68,-8397.4
1697402585.6619942,-3959.272,-7708.264,-32834.56,-14380.148,-11355.12,193.6,-6861.136,-9396.512,-34833.479999999996,-11240.968,-4340.78,-8528.08
1697402585.668564,-3767.016,-7519.012,-32568.36,-14275.008,-11246.976,382.36,-6789.04,-9327.42,-34727.0,-11129.82,-4232.636,-8344.16
1697402585.6751423,-3736.976,-7479.96,-32510.28,-14311.056,-11280.02,324.28,-6900.188,-9432.56,-34891.56,-11237.964,-4343.784,-8528.08
1697402585.68173,-3815.08,-7558.064,-32621.6,-14235.956,-11213.932,440.44,-6602.792,-9144.176,-34460.799999999996,-11274.012,-4379.832,-8581.32
1697402585.6883037,-3845.12,-7594.112,-32674.84,-14341.096,-11313.064,256.52,-6599.788,-9141.172,-34460.799999999996,-11207.924,-4301.728,-8465.16
1697402585.6948788,-3965.28,-7705.26,-32834.56,-14064.728,-11027.684,764.72,-6825.088,-9360.464,-34780.24,-11204.92,-4304.732,-8465.16
1697402585.7014444,-4151.528,-7885.5,-33105.6,-14308.052,-11280.02,314.59999999999997,-6864.14,-9396.512,-34828.64,-11096.776,-4193.584,-8276.4
1697402585.708024,-4004.332,-7744.312,-32887.799999999996,-14272.004,-11243.972,382.36,-6792.044,-9327.42,-34727.0,-11240.968,-4343.784,-8523.24
1697402585.7145922,-3887.176,-7630.16,-32732.92,-14166.864,-11135.828,571.12,-6749.988,-9285.364,-34673.76,-11168.872,-4265.68,-8402.24
1697402585.7211485,-3818.084,-7558.064,-32611.92,-14199.908,-11174.88,513.04,-6713.94,-9252.32,-34620.52,-11246.976,-4343.784,-8523.24
1697402585.7277274,-3962.276,-7708.264,-32834.56,-14241.964,-11207.924,445.28,-6792.044,-9324.416,-34727.0,-11168.872,-4268.684,-8397.4
